taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
wsBodyConstrained,A,29.36067222115308,28.699440968555542,28.278841744742305
wsBodyConstrained,A,27.592859437182156,26.59970385375044,26.640644888028525
wsBodyConstrained,A,20.478135758139484,22.432675839507382,20.05936296017363
wsBodyConstrained,A,23.138260216650682,26.282445194904273,22.449195108409555
wsBodyConstrained,A,24.604945234899922,24.07337471699851,23.81545789970267
wsBodyConstrained,A,23.914475238102487,23.300437049529513,23.186066203084394
wsBodyConstrained,A,18.219665441637062,18.68488171707532,17.466034203310798
wsBodyConstrained,A,18.17694341855792,18.243532391281082,17.416118364744083
wsBodyConstrained,A,18.77783803126945,16.95781072268979,18.506909405897375
wsBodyConstrained,A,17.779832152697214,15.695057008731364,17.54842717509179
wsBodyConstrained,A,21.86228466283707,21.354328878250698,21.326399093857344
wsBodyConstrained,A,24.23389201339533,23.46896801641084,23.444125757220657
wsBodyConstrained,A,23.94053570170547,20.944915269697603,23.158402109692368
wsBodyConstrained,A,21.741309515387766,20.310265496390915,21.13853205289582
wsBodyConstrained,A,21.823441036150136,21.59912247645518,21.27789717118012
wsBodyConstrained,A,23.248087642029848,23.16823561338065,22.628548112925728
wsBodyConstrained,A,27.180533545108005,27.899131795626122,26.221724648646543
wsBodyConstrained,A,22.317906741348775,24.011646812636396,21.761253209633306
wsBodyConstrained,A,26.57468284249707,24.059341874085924,25.667727452626906
wsBodyConstrained,A,26.578394192202396,25.137282454434484,25.719349681892062
wsBodyConstrained,A,23.87701203737224,21.927031326233806,23.016842457898306
wsBodyConstrained,A,21.8441075316689,20.385513769678038,21.07637035043508
wsBodyConstrained,A,22.148242362996722,20.410062258698595,21.405484222885686
wsBodyConstrained,A,21.62655388747149,19.850558892373122,21.02755620397158
wsBodyConstrained,B,27.531067815384535,25.75983594736736,26.459600685909948
wsBodyConstrained,B,25.77146534829459,24.294443169116104,24.97692809620462
wsBodyConstrained,B,28.16090257313754,28.57569838712078,27.012156810928854
wsBodyConstrained,B,25.78651981847094,26.240512676217374,24.678060566730736
wsBodyConstrained,B,25.659554398226344,24.76017395047844,24.99209093647701
wsBodyConstrained,B,26.518439037181377,25.575164531719988,25.712568200762
wsBodyConstrained,B,24.888171160894785,24.005690184900992,24.034438112347054
wsBodyConstrained,B,22.234733969188532,20.755511878174364,21.38128319631679
wsBodyConstrained,B,22.57141104001608,24.50108156889518,21.867901791287146
wsBodyConstrained,B,22.44178339586338,23.97115833255836,21.774226685781223
wsBodyConstrained,B,20.035922531358974,23.514786364502,19.70637308892235
wsBodyConstrained,B,22.470246811857496,26.409462768577107,21.99931170904814
wsBodyConstrained,B,21.49881774043674,22.85056649322114,20.741442075534316
wsBodyConstrained,B,20.34257965655032,21.952418112463043,19.59173755896679
wsBodyConstrained,B,25.271732651819534,25.573687774133813,24.47489976254431
wsBodyConstrained,B,24.526347599872885,25.274628268860365,23.66351772142879
wsBodyConstrained,B,24.46545171338,25.63570371458903,23.75496663704867
wsBodyConstrained,B,23.549761304900002,24.53924964245297,22.873160735511338
wsBodyConstrained,B,24.745268623548686,18.824791707973457,23.89284993251888
wsBodyConstrained,B,25.94728172363777,19.779907586177924,24.858324475455394
wsBodyConstrained,B,18.063353584769043,17.213719656694142,17.658907042713803
wsBodyConstrained,B,19.430303018460794,19.027742632246888,19.07211605535067
